l_dist_mm,r_dist_mm,timestamp
-2827,-3278,78.564
-2827,-3278,78.664
-2827,-3278,78.764
-2827,-3278,78.865
-2827,-3278,78.965
-2827,-3278,79.066
-2827,-3278,79.166
-2827,-3278,79.267
-2827,-3278,79.367
-2827,-3278,79.468
-2827,-3278,79.568
-2827,-3278,79.668
-2827,-3278,79.769
-2827,-3278,79.869
-2827,-3278,79.970
-2827,-3278,80.071
-2827,-3278,80.171
-2827,-3278,80.271
-2827,-3278,80.372
-2827,-3278,80.472
-2827,-3278,80.572
-2827,-3278,80.673
-2827,-3278,80.773
-2827,-3278,80.874
-2827,-3278,80.975
-2827,-3278,81.075
-2827,-3278,81.175
-2827,-3278,81.276
-2827,-3278,81.376
-2827,-3278,81.477
-2827,-3278,81.577
-2827,-3278,81.678
-2827,-3278,81.778
-2827,-3278,81.879
-2827,-3278,81.979
-2827,-3278,82.079
-2827,-3278,82.180
-2827,-3278,82.281
-2827,-3278,82.381
-2827,-3278,82.482
-2827,-3278,82.582
-2827,-3278,82.682
-2827,-3278,82.783
-2827,-3278,82.883
-2827,-3278,82.984
-2827,-3278,83.084
-2827,-3278,83.185
-2827,-3278,83.285
-2827,-3278,83.386
-2827,-3278,83.486
-2827,-3278,83.586
-2827,-3278,83.687
-2827,-3278,83.787
-2827,-3278,83.888
-2827,-3278,83.988
-2827,-3278,84.089
-2827,-3278,84.189
-2827,-3278,84.290
-2827,-3278,84.390
-2827,-3278,84.490
-2827,-3278,84.591
-2827,-3278,84.691
-2827,-3278,84.792
-2827,-3278,84.893
-2827,-3278,84.993
-2827,-3278,85.093
-2827,-3278,85.194
-2827,-3278,85.294
-2827,-3278,85.395
-2827,-3278,85.495
-2827,-3278,85.595
-2827,-3278,85.696
-2827,-3278,85.797
-2827,-3278,85.901
-2829,-3283,86.002
-2834,-3291,86.106
-2845,-3305,86.216
-2859,-3320,86.327
-2875,-3338,86.437
-2895,-3357,86.547
-2915,-3377,86.658
-2935,-3398,86.768
-2957,-3419,86.879
-2978,-3440,86.989
-3000,-3461,87.100
-3021,-3483,87.210
-3043,-3505,87.321
-3066,-3527,87.431
-3087,-3549,87.542
-3108,-3571,87.652
-3130,-3593,87.762
-3152,-3615,87.873
-3173,-3637,87.983
-3195,-3658,88.093
-3215,-3679,88.204
-3238,-3701,88.314
-3260,-3724,88.425
-3282,-3746,88.535
-3303,-3768,88.645
-3325,-3789,88.756
-3346,-3811,88.866
-3368,-3833,88.977
-3391,-3855,89.087
-3412,-3877,89.197
-3434,-3899,89.308
-3456,-3920,89.418
-3478,-3942,89.529
-3500,-3964,89.639
-3522,-3987,89.750
-3543,-4009,89.860
-3565,-4030,89.971
-3587,-4052,90.081
-3609,-4074,90.192
-3630,-4095,90.302
-3651,-4117,90.412
-3672,-4139,90.523
-3694,-4161,90.633
-3717,-4183,90.744
-3739,-4205,90.854
-3761,-4227,90.964
-3783,-4248,91.075
-3804,-4270,91.185
-3829,-4294,91.295
-3860,-4324,91.406
-3895,-4359,91.516
-3932,-4396,91.627
-3971,-4435,91.737
-4011,-4475,91.847
-4053,-4516,91.958
-4094,-4559,92.068
-4136,-4602,92.179
-4179,-4645,92.289
-4222,-4689,92.400
-4265,-4733,92.510
-4309,-4777,92.620
-4352,-4821,92.731
-4396,-4864,92.841
-4439,-4908,92.952
-4483,-4951,93.062
-4528,-4995,93.173
-4573,-5038,93.283
-4617,-5083,93.394
-4661,-5127,93.504
-4705,-5171,93.615
-4749,-5215,93.725
-4793,-5259,93.835
-4835,-5302,93.946
-4880,-5346,94.056
-4923,-5390,94.167
-4967,-5434,94.277
-5011,-5479,94.387
-5054,-5522,94.498
-5098,-5567,94.608
-5141,-5610,94.718
-5186,-5654,94.829
-5229,-5698,94.939
-5272,-5742,95.050
-5315,-5785,95.160
-5358,-5829,95.270
-5402,-5872,95.381
-5446,-5915,95.491
-5490,-5959,95.602
-5533,-6002,95.712
-5577,-6045,95.823
-5620,-6089,95.933
-5662,-6133,96.044
-5706,-6176,96.158
-5750,-6220,96.265
-5794,-6263,96.375
-5838,-6308,96.485
-5881,-6351,96.596
-5925,-6395,96.706
-5969,-6439,96.817
-6012,-6481,96.927
-6055,-6525,97.037
-6099,-6569,97.148
-6142,-6613,97.258
-6186,-6657,97.368
-6230,-6701,97.479
-6274,-6745,97.589
-6318,-6788,97.700
-6362,-6831,97.810
-6406,-6875,97.921
-6448,-6918,98.031
-6492,-6963,98.142
-6536,-7006,98.252
-6580,-7050,98.363
-6623,-7093,98.473
-6661,-7131,98.583
-6689,-7158,98.694
-6708,-7179,98.804
-6721,-7191,98.915
-6729,-7199,99.014
-6734,-7204,99.114
-6738,-7207,99.214
-6741,-7209,99.314
-6742,-7209,99.415
-6744,-7209,99.515
-6744,-7210,99.614
-6744,-7211,99.706
-6744,-7211,99.796
-6744,-7211,99.885
-6744,-7211,99.975
-6745,-7211,100.065
-6745,-7211,100.154
-6745,-7211,100.243
-6745,-7211,100.325
-6745,-7211,100.404
-6745,-7211,100.483
-6745,-7211,100.562
-6745,-7211,100.642
-6745,-7211,100.721
-6745,-7211,100.800
-6745,-7211,100.879
-6745,-7211,100.958
-6745,-7211,101.037
-6745,-7211,101.117
-6745,-7211,101.196
-6745,-7211,101.275
-6745,-7211,101.354
-6745,-7211,101.433
-6745,-7211,101.512
-6745,-7211,101.592
-6745,-7211,101.671
-6745,-7211,101.750
-6745,-7211,101.829
-6745,-7211,101.908
-6745,-7211,101.987
-6745,-7211,102.066
-6745,-7211,102.146
-6745,-7211,102.226
-6745,-7211,102.321
-6743,-7216,102.416
-6740,-7222,102.511
-6735,-7227,102.605
-6730,-7234,102.700
-6724,-7242,102.795
-6716,-7250,102.890
-6707,-7260,102.984
-6699,-7269,103.079
-6689,-7279,103.174
-6680,-7289,103.269
-6670,-7299,103.363
-6661,-7308,103.458
-6652,-7318,103.553
-6642,-7327,103.648
-6633,-7336,103.743
-6623,-7346,103.837
-6614,-7355,103.932
-6604,-7365,104.027
-6595,-7374,104.122
-6586,-7383,104.216
-6577,-7392,104.311
-6568,-7401,104.406
-6558,-7410,104.501
-6549,-7419,104.596
-6539,-7428,104.691
-6530,-7438,104.785
-6520,-7447,104.880
-6511,-7456,104.975
-6501,-7466,105.070
-6492,-7475,105.165
-6482,-7485,105.260
-6472,-7494,105.354
-6462,-7504,105.449
-6453,-7513,105.544
-6447,-7519,105.639
-6438,-7528,105.733
-6428,-7537,105.828
-6419,-7547,105.923
-6409,-7556,106.018
-6399,-7566,106.113
-6389,-7575,106.207
-6379,-7585,106.302
-6370,-7594,106.397
-6361,-7603,106.492
-6352,-7613,106.586
-6342,-7623,106.681
-6333,-7632,106.776
-6324,-7640,106.871
-6315,-7649,106.966
-6307,-7657,107.060
-6301,-7663,107.155
-6297,-7666,107.250
-6294,-7669,107.345
-6292,-7671,107.440
-6291,-7671,107.534
-6291,-7671,107.627
-6291,-7672,107.711
-6291,-7673,107.796
-6291,-7673,107.880
-6291,-7673,107.964
-6291,-7673,108.049
-6291,-7673,108.134
-6291,-7673,108.218
-6291,-7673,108.297
-6291,-7673,108.376
-6291,-7673,108.455
-6291,-7673,108.535
-6291,-7673,108.613
-6291,-7673,108.700
-6291,-7673,108.800
-6291,-7673,108.900
-6291,-7673,109.001
-6291,-7673,109.101
-6291,-7673,109.206
-6295,-7680,109.310
-6308,-7696,109.421
-6330,-7722,109.531
-6360,-7754,109.641
-6393,-7790,109.752
-6430,-7828,109.862
-6469,-7867,109.973
-6510,-7909,110.083
-6552,-7951,110.194
-6594,-7993,110.304
-6636,-8036,110.414
-6679,-8079,110.525
-6723,-8122,110.635
-6766,-8166,110.745
-6810,-8210,110.856
-6852,-8253,110.966
-6896,-8296,111.077
-6940,-8340,111.187
-6983,-8384,111.297
-7027,-8427,111.408
-7072,-8471,111.518
-7115,-8514,111.629
-7159,-8558,111.739
-7202,-8602,111.850
-7245,-8646,111.960
-7288,-8690,112.071
-7332,-8734,112.181
-7375,-8778,112.291
-7419,-8822,112.402
-7462,-8865,112.512
-7506,-8909,112.623
-7550,-8953,112.733
-7594,-8997,112.844
-7637,-9040,112.954
-7680,-9083,113.065
-7724,-9127,113.175
-7768,-9171,113.285
-7811,-9215,113.396
-7856,-9258,113.506
-7900,-9301,113.617
-7942,-9344,113.727
-7986,-9388,113.838
-8030,-9432,113.948
-8072,-9475,114.058
-8106,-9508,114.169
-8131,-9532,114.279
-8148,-9549,114.390
-8158,-9560,114.496
-8165,-9567,114.596
-8170,-9572,114.696
-8174,-9575,114.796
-8176,-9576,114.896
-8177,-9576,114.995
-8178,-9576,115.096
-8178,-9576,115.194
-8178,-9576,115.283
-8178,-9576,115.373
-8178,-9576,115.462
-8178,-9576,115.552
-8178,-9576,115.641
-8178,-9576,115.731
-8178,-9576,115.819
-8178,-9576,115.898
-8178,-9576,115.977
-8178,-9576,116.056
-8178,-9576,116.135
-8178,-9576,116.215
-8178,-9576,116.293
-8178,-9576,116.373
-8178,-9576,116.452
-8178,-9576,116.531
-8178,-9576,116.610
