compx,compy,compz,accelx,accely,accelz,gyrox,gyroy,gyroz,temp,baro,timestamp
0.4318,0.0606,0.2180,-0.048,0.163,-9.680,0.000373,-0.001240,0.001639,32.7,83.996,1559177154.531301022
0.4350,0.0652,0.2192,-0.032,0.169,-9.690,0.000240,-0.002117,0.002844,32.7,83.996,1559177154.620829344
0.4350,0.0617,0.2206,-0.044,0.149,-9.670,0.000553,-0.000522,0.002171,32.7,83.996,1559177154.626268387
0.4307,0.0618,0.2194,-0.052,0.182,-9.697,0.001619,-0.000355,0.001686,32.7,83.983,1559177154.626764774
0.4339,0.0606,0.2220,-0.061,0.161,-9.693,0.000820,-0.002029,0.002497,32.7,83.983,1559177154.627254725
0.4339,0.0617,0.2179,-0.063,0.143,-9.667,0.001196,-0.001773,0.001950,32.7,83.996,1559177154.627740383
0.4361,0.0629,0.2219,-0.068,0.179,-9.716,0.001648,-0.000992,0.001009,32.7,83.983,1559177154.710598230
0.4329,0.0617,0.2221,-0.055,0.179,-9.690,0.000845,-0.001258,0.001897,32.7,83.983,1559177154.711099863
0.4328,0.0640,0.2221,-0.040,0.174,-9.692,0.000608,-0.000768,0.002401,32.7,83.996,1559177154.711590052
0.4339,0.0629,0.2220,-0.055,0.163,-9.698,0.001076,-0.000455,0.001337,32.7,83.996,1559177154.712076664
0.4329,0.0583,0.2193,-0.048,0.168,-9.693,-0.000048,-0.000793,0.001696,32.7,83.986,1559177154.800506115
0.4350,0.0617,0.2192,-0.034,0.184,-9.702,0.001242,-0.001994,0.003179,32.7,83.983,1559177154.801581860
0.4307,0.0606,0.2235,-0.055,0.169,-9.675,0.000656,-0.000873,0.002082,32.7,83.979,1559177154.802566051
0.4328,0.0617,0.2193,-0.052,0.181,-9.675,0.001424,-0.001100,0.002335,32.7,83.983,1559177154.803546906
0.4361,0.0617,0.2192,-0.052,0.189,-9.709,0.000782,-0.001288,0.001515,32.7,83.996,1559177154.804520845
0.4329,0.0606,0.2220,-0.059,0.161,-9.668,0.001076,-0.001508,0.000941,32.7,83.983,1559177154.891408443
0.4318,0.0617,0.2235,-0.056,0.156,-9.659,0.000856,-0.001749,0.001336,32.7,83.999,1559177154.892405033
0.4328,0.0629,0.2166,-0.065,0.155,-9.731,0.000535,-0.001716,0.001526,32.7,83.996,1559177154.893388510
0.4307,0.0618,0.2222,-0.071,0.186,-9.697,0.001418,-0.001823,0.001725,32.7,83.996,1559177154.894364119
0.4328,0.0629,0.2193,-0.047,0.196,-9.649,0.001273,-0.001717,0.002134,32.7,83.983,1559177154.981140852
0.4328,0.0629,0.2166,-0.038,0.173,-9.692,0.001912,-0.001433,0.003133,32.7,83.983,1559177154.982141495
0.4307,0.0606,0.2208,-0.052,0.184,-9.725,0.000838,-0.000329,0.000846,32.7,83.983,1559177154.983125210
0.4350,0.0606,0.2233,-0.036,0.176,-9.665,0.001175,-0.001575,0.001458,32.7,83.970,1559177154.984104633
0.4339,0.0606,0.2206,-0.047,0.175,-9.679,0.000404,-0.000702,0.002282,32.7,83.983,1559177154.985080242
0.4329,0.0617,0.2207,-0.046,0.189,-9.691,0.001193,-0.000825,0.001884,32.7,83.996,1559177155.070886850
0.4339,0.0606,0.2206,-0.067,0.157,-9.658,0.002268,0.000010,0.001734,32.7,83.996,1559177155.071887255
0.4339,0.0617,0.2206,-0.074,0.155,-9.711,-0.000169,-0.001748,0.002684,32.7,83.983,1559177155.072870016
0.4328,0.0629,0.2193,-0.036,0.170,-9.697,0.002043,-0.001348,0.001751,32.7,83.996,1559177155.073846817
0.4307,0.0606,0.2208,-0.061,0.181,-9.712,0.000616,-0.000387,0.000805,32.7,83.996,1559177155.161887884
0.4339,0.0617,0.2193,-0.053,0.189,-9.698,0.000891,-0.001506,0.000366,32.7,83.996,1559177155.162885427
0.4307,0.0618,0.2222,-0.064,0.179,-9.675,0.001462,-0.000435,0.001392,32.7,83.983,1559177155.163867950
0.4350,0.0617,0.2192,-0.033,0.190,-9.707,0.000328,-0.001333,0.001246,32.7,83.996,1559177155.164845467
0.4318,0.0618,0.2194,-0.049,0.186,-9.712,0.001132,0.000312,0.003068,32.7,83.996,1559177155.165869236
0.4307,0.0583,0.2208,-0.030,0.139,-9.688,-0.000014,-0.001151,0.001790,32.7,83.996,1559177155.251638174
0.4339,0.0629,0.2234,-0.045,0.174,-9.655,0.001224,-0.000553,0.003307,32.7,83.996,1559177155.252637863
0.4361,0.0617,0.2192,-0.051,0.167,-9.672,0.001240,-0.001440,0.001551,32.7,83.992,1559177155.253620863
0.4318,0.0617,0.2208,-0.030,0.168,-9.670,0.001677,-0.002379,0.002003,32.7,83.983,1559177155.254600048
0.4307,0.0606,0.2194,-0.033,0.173,-9.698,0.001204,-0.001842,0.001138,32.7,83.996,1559177155.342636585
0.4296,0.0606,0.2209,-0.051,0.174,-9.692,0.000497,-0.001633,0.002363,32.7,83.996,1559177155.343703032
0.4307,0.0606,0.2208,-0.040,0.172,-9.680,0.001776,-0.001682,0.002324,32.7,84.009,1559177155.344687700
0.4350,0.0606,0.2233,-0.042,0.185,-9.681,0.001266,-0.002291,0.001830,32.7,83.996,1559177155.345712423
0.4350,0.0629,0.2233,-0.047,0.176,-9.674,0.001695,0.000104,0.002495,32.7,83.983,1559177155.346693039
0.4307,0.0595,0.2208,-0.067,0.177,-9.686,0.000967,0.000363,0.002635,32.7,83.996,1559177155.432415724
